Date,Description,Amount,Category,Account
2024-01-11,Landlord payment,36.39,Rent,Credit Card
2024-01-11,Food market transaction,-483.0,Groceries,Savings
2024-01-11,Monthly rent payment,123.89,Rent,Savings
2024-01-11,Convenience store purchase,131.38,Unspecified,Unspecified
2024-01-11,Internet service bill,-63.99,Utilities,Checking
2024-01-11,Weekly grocery run,437.99,Groceries,Credit Card
2024-01-11,Employer paycheck,99.76,Salary,Savings
2024-01-11,Streaming service subscription,-406.06,Unspecified,Savings
2024-01-11,Water utility payment,312.83,Utilities,Savings
2024-01-11,Unspecified,493.51,Utilities,Checking
2024-01-11,Landlord payment,-161.67,Rent,Credit Card
2024-01-11,Wages direct deposit,-384.83,Salary,Checking
2024-01-11,Movie theater tickets,163.52,Entertainment,Savings
2024-01-11,Restaurant dining,319.0,Entertainment,Savings
2024-01-11,Concert ticket purchase,80.0,Unspecified,Savings
2024-01-11,Restaurant dining,262.76,Entertainment,Credit Card
2024-01-11,Grocery store purchase,190.13,Groceries,Credit Card
2024-01-11,Apartment lease payment,361.19,Rent,Checking
2024-01-11,Gas bill payment,367.12,Unspecified,Credit Card
2024-01-11,Employer paycheck,273.78,Salary,Credit Card
2024-01-11,Convenience store purchase,-472.35,Groceries,Savings
2024-01-11,Housing rent transfer,354.0,Rent,Savings
2024-01-11,Movie theater tickets,-2226.0,Rent,Checking
2024-01-11,Wages direct deposit,216.81,Salary,Credit Card
2024-01-11,Housing rent transfer,59.84,Unspecified,Checking
2024-01-11,Rental fee,-430.56,Rent,Credit Card
2024-01-11,Internet service bill,288.17,Utilities,Savings
2024-01-11,Salary payment,-401.0,Unspecified,Credit Card
2024-01-11,Employer paycheck,262.0,Salary,Checking
2024-01-11,Food market transaction,-79.13,Groceries,Checking
2024-01-11,Phone bill payment,-210.13,Utilities,Credit Card
2024-01-11,Gas bill payment,-235.06,Utilities,Credit Card
2024-01-11,Internet service bill,-63.99,Utilities,Checking
2024-01-11,Internet service bill,-442.94,Utilities,Savings
2024-01-11,Gas bill payment,444.19,Utilities,Checking
2024-01-11,Convenience store purchase,371.0,Groceries,Savings
2024-01-11,Streaming service subscription,-137.52,Entertainment,Checking
2024-01-11,Monthly rent payment,-80.26,Rent,Credit Card
2024-01-11,Salary payment,342.17,Salary,Checking
2024-01-11,Unspecified,267.63,Utilities,Credit Card
2024-01-11,Monthly rent payment,448.72,Rent,Savings
2024-01-11,Amusement park visit,-246.0,Entertainment,Credit Card
2024-01-11,Salary payment,3.9,Salary,Savings
2024-01-11,Apartment lease payment,-446.24,Rent,Checking
2024-01-11,Rental fee,-151.71,Unspecified,Credit Card
2024-01-11,Movie theater tickets,91.51,Entertainment,Savings
2024-01-11,Amusement park visit,28757.0,Entertainment,Savings
2024-01-11,Streaming service subscription,-341.73,Entertainment,Credit Card
2024-01-11,Supermarket shopping,-421.0,Unspecified,Checking
2024-01-11,Rental fee,-287.68,Rent,Checking
2024-01-11,Freelance income,-385.89,Salary,Credit Card
2024-01-11,Food market transaction,468.07,Groceries,Checking
2024-01-11,Streaming service subscription,-88.66,Entertainment,Checking
2024-01-11,Internet service bill,338.9,Utilities,Credit Card
2024-01-11,Unspecified,155.62,Groceries,Savings
2024-01-11,Freelance income,362.33,Salary,Savings
2024-01-11,Streaming service subscription,146.46,Entertainment,Checking
2024-01-11,Supermarket shopping,-24530.56,Groceries,Unspecified
2024-01-11,Movie theater tickets,-354.27,Entertainment,Savings
2024-01-11,Streaming service subscription,-156.41,Entertainment,Savings
2024-01-11,Weekly grocery run,90.09,Groceries,Savings
2024-01-11,Convenience store purchase,169.47,Groceries,Savings
2024-01-11,Supermarket shopping,-71.44,Unspecified,Credit Card
2024-01-11,Internet service bill,-107.03,Utilities,Credit Card
2024-01-11,Electricity bill payment,-456.42,Unspecified,Savings
2024-01-11,Internet service bill,23116.0,Utilities,Checking
2024-01-11,Monthly rent payment,154.22,Rent,Credit Card
2024-01-11,Housing rent transfer,-345.21,Rent,Savings
2024-01-11,Food market transaction,-366.49,Groceries,Checking
2024-01-11,Wages direct deposit,-244.0,Salary,Savings
2024-01-11,Electricity bill payment,-234.49,Utilities,Savings
2024-01-11,Restaurant dining,-244.23,Entertainment,Savings
2024-01-11,Weekly grocery run,-142.3,Groceries,Checking
2024-01-11,Food market transaction,468.07,Groceries,Checking
2024-01-11,Supermarket shopping,391.9,Unspecified,Unspecified
2024-01-11,Rental fee,-109.35,Rent,Checking
2024-01-11,Gas bill payment,155.9,Utilities,Checking
2024-01-11,Landlord payment,-81.02,Rent,Credit Card
2024-01-11,Housing rent transfer,182.19,Rent,Checking
2024-01-11,Monthly rent payment,-449.7,Rent,Savings
2024-01-11,Internet service bill,-134.12,Utilities,Checking
2024-01-11,Electricity bill payment,-456.42,Unspecified,Savings
2024-01-11,Grocery store purchase,-380.1,Groceries,Credit Card
2024-01-11,Apartment lease payment,-243.92,Rent,Savings
2024-01-11,Supermarket shopping,-391.0,Groceries,Credit Card
2024-01-11,Wages direct deposit,-165.69,Salary,Credit Card
2024-01-11,Salary payment,-336.88,Salary,Unspecified
2024-01-11,Freelance income,364.28,Salary,Credit Card
2024-01-11,Landlord payment,372.64,Rent,Credit Card
2024-01-11,Monthly rent payment,71.09,Rent,Savings
2024-01-11,Unspecified,-436.1,Rent,Unspecified
2024-01-11,Amusement park visit,-82.21,Entertainment,Savings
2024-01-11,Restaurant dining,475.01,Entertainment,Checking
2024-01-11,Electricity bill payment,181.35,Utilities,Savings
2024-01-11,Movie theater tickets,-284.55,Entertainment,Checking
2024-01-11,Landlord payment,-212.93,Rent,Credit Card
2024-01-11,Food market transaction,196.37,Groceries,Savings
2024-01-11,Water utility payment,85.13,Utilities,Savings
2024-01-11,Electricity bill payment,421.0,Utilities,Credit Card
2024-01-11,Supermarket shopping,235.95,Groceries,Checking
2024-01-11,Weekly grocery run,333.28,Groceries,Checking
2024-01-11,Weekly grocery run,75.19,Groceries,Credit Card
2024-01-11,Amusement park visit,-198.85,Unspecified,Savings
2024-01-11,Weekly grocery run,-142.3,Groceries,Checking
2024-01-11,Water utility payment,206.59,Utilities,Checking
2024-01-11,Internet service bill,-67.04,Utilities,Checking
2024-01-11,Restaurant dining,248.75,Entertainment,Checking
2024-01-11,Internet service bill,-28545.0,Utilities,Savings
2024-01-11,Amusement park visit,-142.41,Entertainment,Checking
2024-01-11,Payroll deposit,-24.11,Salary,Savings
2024-01-11,Supermarket shopping,-29204.0,Groceries,Credit Card
2024-01-11,Concert ticket purchase,162.1,Entertainment,Checking
2024-01-11,Amusement park visit,-488.95,Entertainment,Savings
2024-01-11,Supermarket shopping,448.88,Groceries,Checking
2024-01-11,Food market transaction,330.35,Groceries,Checking
2024-01-11,Supermarket shopping,93.08,Groceries,Savings
2024-01-11,Food market transaction,201.88,Groceries,Checking
2024-01-11,Concert ticket purchase,410.54,Rent,Savings
2024-01-11,Freelance income,362.52,Salary,Savings
2024-01-11,Internet service bill,56.31,Utilities,Checking
2024-01-11,Movie theater tickets,-421.05,Entertainment,Checking
2024-01-11,Apartment lease payment,-325.64,Rent,Checking
2024-01-11,Payroll deposit,-226.11,Salary,Checking
2024-01-11,Freelance income,-445.18,Salary,Savings
2024-01-11,Housing rent transfer,-1.41,Rent,Savings
2024-01-11,Concert ticket purchase,360.0,Rent,Unspecified
2024-01-11,Movie theater tickets,41.19,Entertainment,Checking
2024-01-11,Freelance income,-493.0,Salary,Checking
2024-01-11,Convenience store purchase,371.0,Groceries,Savings
2024-01-11,Freelance income,38739.0,Salary,Checking
2024-01-11,Food market transaction,-302.35,Groceries,Credit Card
2024-01-11,Streaming service subscription,-33.55,Entertainment,Checking
2024-01-11,Streaming service subscription,426.03,Entertainment,Credit Card
2024-01-11,Streaming service subscription,-88.66,Entertainment,Checking
2024-01-11,Payroll deposit,-138.31,Salary,Credit Card
2024-01-11,Food market transaction,-184.98,Groceries,Checking
2024-01-11,Phone bill payment,-367.03,Utilities,Checking
2024-01-11,Apartment lease payment,10.06,Rent,Credit Card
2024-01-11,Water utility payment,-459.87,Utilities,Checking
2024-01-11,Gas bill payment,367.12,Unspecified,Credit Card
2024-01-11,Supermarket shopping,-130.48,Groceries,Checking
2024-01-11,Unspecified,-108.0,Salary,Credit Card
2024-01-11,Gas bill payment,136.0,Utilities,Savings
2024-01-11,Restaurant dining,394.13,Entertainment,Savings
2024-01-11,Convenience store purchase,-83.94,Groceries,Credit Card
2024-01-11,Streaming service subscription,159.4,Rent,Unspecified
2024-01-11,Electricity bill payment,-422.62,Utilities,Savings
2024-01-11,Freelance income,-298.72,Salary,Checking
2024-01-11,Streaming service subscription,-294.0,Entertainment,Credit Card
2024-01-11,Phone bill payment,-455.77,Utilities,Checking
2024-01-11,Apartment lease payment,-309.89,Rent,Credit Card
2024-01-11,Payroll deposit,-372.53,Salary,Credit Card
2024-01-11,Amusement park visit,-337.17,Entertainment,Savings
2024-01-11,Electricity bill payment,-102.04,Utilities,Savings
2024-01-11,Payroll deposit,-261.0,Salary,Checking
2024-01-11,Internet service bill,-442.94,Utilities,Savings
2024-01-11,Convenience store purchase,-83.94,Groceries,Credit Card
2024-01-11,Phone bill payment,249.38,Utilities,Credit Card
2024-01-11,Water utility payment,-132.06,Utilities,Credit Card
2024-01-11,Amusement park visit,332.87,Entertainment,Savings
2024-01-12,Phone bill payment,302.0,Utilities,Unspecified
2024-01-12,Employer paycheck,-72.95,Salary,Credit Card
2024-01-12,Convenience store purchase,-297.84,Groceries,Credit Card
2024-01-12,Grocery store purchase,265.22,Groceries,Checking
2024-01-12,Internet service bill,-393.84,Utilities,Savings
2024-01-12,Freelance income,-183.54,Salary,Checking
2024-01-12,Internet service bill,-4964.0,Unspecified,Checking
2024-01-12,Landlord payment,-174.55,Rent,Credit Card
2024-01-12,Gas bill payment,-371.73,Utilities,Checking
2024-01-12,Salary payment,-438.59,Salary,Credit Card
2024-01-12,Water utility payment,97.4,Utilities,Checking
2024-01-12,Restaurant dining,-376.33,Rent,Credit Card
2024-01-12,Salary payment,36502.0,Salary,Savings
2024-01-12,Freelance income,89.1,Salary,Checking
2024-01-12,Monthly rent payment,227.45,Rent,Credit Card
2024-01-12,Food market transaction,331.15,Groceries,Checking
2024-01-12,Phone bill payment,-15.65,Utilities,Checking
2024-01-12,Movie theater tickets,-385.87,Unspecified,Checking
2024-01-12,Weekly grocery run,20552.0,Groceries,Savings
2024-01-12,Food market transaction,-253.0,Unspecified,Checking
2024-01-12,Monthly rent payment,-364.08,Rent,Checking
2024-01-12,Convenience store purchase,-377.45,Groceries,Savings
2024-01-12,Streaming service subscription,-40354.0,Entertainment,Credit Card
2024-01-12,Concert ticket purchase,103.62,Entertainment,Checking
2024-01-12,Amusement park visit,-102.27,Entertainment,Unspecified
2024-01-12,Housing rent transfer,-372.58,Rent,Savings
2024-01-12,Grocery store purchase,446.83,Groceries,Checking
2024-01-12,Convenience store purchase,-84.96,Groceries,Unspecified
2024-01-12,Restaurant dining,-23.37,Entertainment,Savings
2024-01-12,Salary payment,448.42,Salary,Checking
2024-01-12,Salary payment,402.74,Salary,Credit Card
2024-01-12,Internet service bill,188.53,Utilities,Credit Card
2024-01-12,Internet service bill,-424.91,Utilities,Checking
2024-01-12,Food market transaction,41.24,Groceries,Credit Card
2024-01-12,Unspecified,-174.03,Salary,Credit Card
